料金按分集計一覧表[グループ別集計]
按分方式,空調時間按分
集計期間,2025/01/01～2025/01/31
集計日,2025/02/01 09:54

グループ名称,ガス使用量[m3],ガス従量料金[円],電力使用量[kWh],電力従量料金[円]
1630 ｻﾝｸｾﾞｰﾙ,32.5,0,13.1,0
2600 ｱﾃﾞｨﾀﾞｽ,161.2,1,65.1,0
2600 ｱﾃﾞｨﾀﾞｽ,109.8,1,44.3,0
2600 ｱﾃﾞｨﾀﾞｽ,158.6,1,64.0,0
2600 ｱﾃﾞｨﾀﾞｽ,129.4,1,52.2,0
2600 ｱﾃﾞｨﾀﾞｽ,101.8,1,41.1,0
2600 ｱﾃﾞｨﾀﾞｽ,7.6,0,3.1,0
2600 ｱﾃﾞｨﾀﾞｽ,108.0,1,43.5,0
2600 ｱﾃﾞｨﾀﾞｽ,38.9,0,15.7,0
2600 ｱﾃﾞｨﾀﾞｽ,24.1,0,9.8,0
2620 ｵﾛﾋﾞｱﾝｺ,17.0,0,6.8,0
2620 ｵﾛﾋﾞｱﾝｺ,135.4,1,54.6,0
2630 ｵﾝﾃﾞｲｽﾞ,125.4,1,50.6,0
2640 ｵﾝﾃﾞｲｽﾞ,153.6,1,62.0,0
2635 ﾚｺﾞ,152.3,1,61.5,0
2635 ﾚｺﾞ,42.7,0,17.2,0
2635 ﾚｺﾞ,3.8,0,1.5,0
1610 泉州ﾀｵﾙ,15.6,0,6.3,0
1610 泉州ﾀｵﾙ,25.9,0,10.5,0
1610 倉庫,93.6,0,37.8,0
従業員休憩室,26.3,0,10.6,0
従業員休憩室,210.2,2,84.7,0
MO,15.6,0,6.3,0
MS3:3-2-06,1.3,0,0.5,0
会議室B,3.0,0,1.2,0
2F EVﾎｰﾙ,0.0,0,0.0,0
1710 ﾌｰﾄﾞ厨房,509.1,5,205.3,2
1710 ﾌｰﾄﾞ厨房,113.8,1,45.9,0
1525 ｺｰﾁ未使用,,,,
合計,28974.3,289,11686.5,116
