集計値一覧 電力按分
出力日  2025年2月1日
指定月度  2025年 1月度
2025年 1月 1日 ～ 2025年 1月 31日
名称,前月使用量[kWh],今月使用量[kWh],前月比[%],前年同月比[%],停止時電力[Wh]
1F 6635-04,489.00,627.25,128.3,103.2,0
1F 6635-05,646.41,704.00,108.9,103.6,0
1F 6635-06,653.98,744.00,113.8,100.0,0
2F 7600-01,35.92,33.89,94.3,65.1,0
2F 7600-02,275.22,276.35,100.4,72.8,0
2F 7600-03,719.18,807.39,112.3,118.7,0
2F 7600-04,35.81,39.82,111.2,74.9,0
2F 7600-05,186.23,178.87,96.0,55.7,0
2F 7600-06,661.47,823.31,124.5,104.5,0
2F 7605-01,96.81,111.88,115.6,74.0,0
2F 7605-02,58.33,100.18,171.7,72.5,0
2F 7605-03,36.64,61.44,167.7,56.7,0
2F 7605-04,93.32,138.67,148.6,80.8,0
2F 7605-05,174.16,145.03,83.3,67.2,0
2F 7605-06,170.72,181.15,106.1,70.4,0
2F 7605-07,192.82,202.47,105.0,83.3,0
2F 7605-08,203.78,177.01,86.9,78.9,0
2F 7605-09,71.37,114.70,160.7,100.7,0
2F 7605-10,286.07,233.03,81.5,61.1,0
2F 7605-11,431.97,299.08,69.2,65.1,0
2F 7605-12,215.86,214.28,99.3,69.3,0
2F 7615-01,118.49,260.63,220.0,91.9,0
2F 7615-02,350.41,468.58,133.7,107.3,0
2F 7615-03,305.99,446.72,146.0,88.0,0
2F 7615-04,351.82,393.00,111.7,81.1,0
2F 7615-05,198.24,354.79,179.0,83.1,0
2F 7615-06,187.28,333.06,177.8,78.7,0
2F 7620-01,39.18,48.11,122.8,63.5,0
2F 7620-02,79.70,83.38,104.6,53.1,0
2F 7620-03,242.26,134.98,55.7,30.9,0
2F 7620-04,67.77,71.77,105.9,59.9,0
2F 7620-05,53.38,45.38,85.0,90.6,0
2F 7620-06,272.20,158.53,58.2,31.9,0
2F 7620-07,152.18,410.81,269.9,182.3,0
2F 7620-08,67.08,224.71,335.0,149.4,0
2F 7620-09,172.66,347.99,201.5,106.1,0
2F 7620-10,253.21,453.44,179.1,231.7,0
2F 7620-11,228.31,423.88,185.7,253.6,0
2F 7620-12,209.33,423.54,202.3,178.5,0
2F 7620-13,471.26,603.47,128.1,94.9,0
2F 7620-14,376.22,582.31,154.8,166.9,0
2F 7620-15,86.83,307.84,354.5,218.9,0
2F 7620-16,67.56,156.76,232.0,127.9,0
2F 7620-17,95.92,305.18,318.1,150.9,0
2F 7620-18,53.75,161.70,300.8,212.7,0
2F 7620-19,321.27,497.77,154.9,116.7,0
2F 7620-20,530.86,590.33,111.2,117.6,0
2F 7620-21,34.66,81.52,235.2,146.7,0
2F 7620-22,50.21,150.71,300.2,175.3,0
2F 7620-23,216.43,419.63,193.9,199.7,0
2F 7620-24,580.96,727.15,125.2,146.3,0
3F フードホール-01,177.37,171.95,96.9,287.1,0
3F フードホール-02,275.48,257.04,93.3,475.2,0
3F フードホール-03,150.62,145.79,96.8,452.5,0
3F フードホール-04,27.63,35.87,129.8,136.7,0
3F フードホール-05,82.89,136.18,164.3,96.9,0
3F フードホール-06,224.21,324.14,144.6,250.1,0
3F フードホール-07,875.69,1033.89,118.1,123.1,0
3F フードホール-08,24.07,33.03,137.3,85.4,0
3F フードホール-09,315.64,431.03,136.6,1417.3,0
3F フードホール-10,374.51,446.36,119.2,1645.7,0
3F フードホール-11,56.37,79.91,141.8,184.2,0
3F フードホール-12,900.86,896.51,99.5,997.4,0
3F フードホール-13,822.27,759.20,92.3,205.0,0
3F フードホール-14,65.56,104.44,159.3,259.2,0
3F フードホール-15,242.01,166.08,68.6,637.5,0
3F フードホール-16,33.33,36.26,108.8,111.6,0
3F フードホール-17,230.56,147.86,64.1,189.9,0
3F フードホール-18,249.78,755.65,302.5,138.8,0
3F フードホール-19,378.77,733.46,193.6,369.7,0
3F フードホール-20,558.26,901.37,161.5,189.7,0
3F フードホール-21,330.65,626.46,189.5,346.1,0
3F フードホール-22,321.62,565.36,175.8,395.7,0
3F フードホール-23,419.66,856.87,204.2,122.3,0
3F フードホール-24,241.25,798.78,331.1,162.9,0
3F フードホール-25,803.99,1082.44,134.6,81.0,0
3F フードホール-26,230.94,312.98,135.5,220.8,0
3F フードホール-27,826.80,975.79,118.0,261.9,0
3F フードホール-28,886.92,1041.32,117.4,303.6,0
3F フードホール-29,882.45,1116.18,126.5,117.3,0
3F フードホール-30,867.73,1028.38,118.5,132.3,0
3F フードホール-31,804.97,1032.97,128.3,165.4,0
3F フードホール-32,766.55,981.13,128.0,104.9,0
3F 廊下-01,510.47,589.72,115.5,244.8,0
3F 廊下-03,580.32,603.29,104.0,170.5,0
3F 廊下-02,605.43,643.50,106.3,107.5,0
3F 喫煙室,55.71,94.10,168.9,115.8,0
3F 客用WC（M）-01,465.70,461.23,99.0,975.3,0
3F 事務室,8.80,18.63,211.8,779.3,0
3F 客用WC（W）-01,34.07,56.16,164.8,225.5,0
3F 客用WC（W）-02,7.63,14.07,184.3,167.9,0
3F 客用WC（W）-03,17.43,33.55,192.5,155.5,0
3F 8600-01,25.93,41.31,159.3,18.0,0
3F 8600-02,30.85,50.13,162.5,23.0,0
3F 8600-03,76.87,295.50,384.4,105.1,0
3F 8605-01,858.20,951.86,110.9,100.0,0
3F 8605-02,746.82,919.61,123.1,99.0,0
3F 8610-01,190.97,225.81,118.2,36.1,0
3F 8610-02,72.45,144.26,199.1,36.0,0
3F 8615-01,55.38,117.34,211.9,34.9,0
3F 8615-02,67.81,179.28,264.4,42.7,0
3F 8620-01,30.30,139.01,458.7,47.0,0
3F 8620-02,30.91,253.37,819.8,46.4,0
3F 8625-01,28.72,37.96,132.2,22.8,0
3F 8625-02,30.80,37.36,121.3,20.8,0
3F 8625-03,114.94,65.34,56.9,17.8,0
1F MWC・WWC(20),0.00,0.00,****,****,0
(予備)1F MWC・WWC(20),0.00,0.00,****,****,0
1F 8000-01,0.00,0.00,****,****,0
1F 8000-02,0.00,0.00,****,****,0
1F 8000-03,0.00,0.00,****,****,0
1F 8000-04,0.00,0.00,****,****,0
1F 6700-01,85.20,77.16,90.6,118.3,0
1F 6700-02,44.22,46.76,105.7,34.6,0
1F 6700-03,137.44,341.95,248.8,53.8,0
1F 6700-04,185.26,432.78,233.6,66.9,0
1F 6700-05,42.76,51.12,119.5,89.8,0
1F 6700-06,33.32,41.96,125.9,30.1,0
1F 6700-07,87.14,144.07,165.3,28.1,0
1F 6700-08,128.63,227.55,176.9,35.7,0
1F 6705-01,27.41,24.97,91.1,25.2,0
1F 6705-02,34.34,24.06,70.1,20.4,0
1F 6705-03,31.85,52.02,163.3,124.3,0
1F 6705-04,24.62,32.62,132.5,110.2,0
1F 6705-05,35.75,38.33,107.2,50.3,0
1F 6705-06,37.58,41.67,110.9,84.7,0
1F 6705-07,24.79,30.19,121.8,97.5,0
1F 6705-08,49.98,60.58,121.2,84.9,0
1F 6705-09,29.53,21.49,72.8,22.0,0
1F 6705-10,35.73,22.60,63.2,30.2,0
1F 6705-11,32.30,60.96,188.7,100.7,0
1F 6705-12,47.89,79.19,165.4,136.2,0
1F 6705-13,46.02,89.45,194.4,79.9,0
1F 6705-14,51.87,80.07,154.4,114.2,0
1F 6705-15,26.87,39.09,145.5,99.5,0
1F 6705-16,33.87,74.90,221.1,155.7,0
1F 6705-17,113.84,55.64,48.9,42.0,0
1F 6705-18,130.35,81.93,62.9,59.8,0
1F 6705-19,31.23,37.77,120.9,96.4,0
1F 6705-20,129.29,107.03,82.8,108.0,0
1F 6705-21,45.84,44.66,97.4,83.5,0
1F 6705-22,26.45,59.77,226.0,139.0,0
1F 6705-23,32.49,47.15,145.1,55.4,0
1F 6705-24,78.67,107.13,136.2,99.1,0
1F 6705-25,73.22,46.18,63.1,41.4,0
1F 6705-26,61.99,38.90,62.8,33.3,0
1F 6705-27,26.39,161.57,612.3,404.3,0
1F 6705-28,22.58,85.72,379.7,226.5,0
1F 6705-29,348.08,568.51,163.3,140.7,0
1F 6705-30,23.53,179.91,764.7,291.4,0
1F 6705-31,23.20,65.02,280.3,182.6,0
1F 6705-32,191.21,434.96,227.5,157.6,0
2F 7700-01,79.29,119.63,150.9,133.7,0
2F 7700-02,82.69,141.25,170.8,108.3,0
2F 7700-03,132.82,181.00,136.3,212.0,0
2F 7700-04,306.08,574.74,187.8,71.9,0
2F 7700-05,66.74,142.05,212.9,57.6,0
2F 7700-06,32.43,66.24,204.3,36.4,0
2F 7700-07,58.92,206.00,349.6,78.8,0
2F 7700-08,82.14,371.55,452.3,65.1,0
2F 7700-09,26.82,63.67,237.4,104.5,0
2F 7700-10,26.65,59.89,224.7,96.3,0
2F 7700-11,25.17,43.83,174.1,82.1,0
2F 7700-12,26.59,45.36,170.6,47.6,0
2F 7700-13,31.83,245.56,771.6,95.3,0
2F 7700-14,25.34,41.54,163.9,96.6,0
2F 7700-15,33.81,84.50,249.9,91.5,0
2F 7700-16,26.93,114.98,426.9,91.0,0
